neuron,receptor
AVEL,GLR-2
AVEL,GLR-5
AVEL,NMR-1
AVEL,NMR-2
AVER,FRPR-4
AVER,GLR-1
AVER,GLR-2
AVER,GLR-5
AVER,NMR-1
AVER,NMR-2
AVFL,LGC-53
AVFL,PDFR-1
AVFR,LGC-53
AVFR,PDFR-1
AVG,DEG-3
AVG,GLR-1
AVG,GLR-2
AVG,NMR-1
AVG,NMR-2
AVG,NPR-17
AVG,NTR-2
AVHL,GGR-1
AVHL,GLR-4
AVHL,SER-2
AVHR,GGR-1
AVHR,GLR-4
AVHR,SER-2
AVJL,GLR-1
AVJL,SER-5
AVJR,GLR-1
AVJR,SER-5
AVKL,GLR-5
AVKR,GLR-5
AVL,DOP-4
AVM,DOP-1
AVM,LGC-55
AVM,PDFR-1
AWAL,NPR-5
AWAL,OCR-1
AWAL,OCR-2
AWAL,ODR-10
AWAL,OSM-9
AWAR,NPR-5
AWAR,OCR-1
AWAR,OCR-2
AWAR,ODR-10
AWAR,OSM-9
AWBL,AEX-2
AWBL,DAF-11
AWBL,NPR-5
AWBL,SER-5
AWBL,SER-6
AWBL,STR-1
AWBR,AEX-2
AWBR,DAF-11
AWBR,NPR-5
AWBR,SER-5
AWBR,SER-6
AWBR,STR-1
AWCL,DAF-11
AWCL,OSM-9
AWCL,STR-2
AWCL,TYRA-3
AWCR,DAF-11
AWCR,OSM-9
AWCR,STR-2
AWCR,TYRA-3
BAGL,GCY-33
BAGL,NPR-4
BAGL,TYRA-3
BAGR,GCY-33
BAGR,NPR-4
BAGR,TYRA-3
BDUL,GLR-8
BDUL,NPR-4
BDUL,NTR-1
BDUL,SER-2
BDUR,GLR-8
BDUR,NPR-4
BDUR,NTR-1
BDUR,SER-2
CANL,DOP-4
CANL,GGR-2
CANL,LGC-53
CANL,SER-2
CANL,TYRA-2
CANR,DOP-4
CANR,GGR-2
CANR,LGC-53
CANR,SER-2
CANR,TYRA-2
CEPDL,DOP-2
CEPDL,OCTR-1
CEPDL,TYRA-3
CEPDR,DOP-2
CEPDR,OCTR-1
CEPDR,TYRA-3
CEPVL,DOP-2
CEPVL,OCTR-1
CEPVL,TYRA-3
CEPVR,DOP-2
CEPVR,OCTR-1
CEPVR,TYRA-3
DA1,CKR-2
DA1,DOP-1
DA1,DOP-3
DA1,NPR-3
DA1,SER-2
DA1,UNC-8
DA2,CKR-2
DA2,DOP-1
DA2,DOP-3
DA2,NPR-3
DA2,SER-2
DA2,UNC-8
DA3,CKR-2
DA3,DOP-1
DA3,DOP-3
DA3,NPR-3
DA3,SER-2
DA3,UNC-8
DA4,CKR-2
DA4,DOP-1
DA4,DOP-3
DA4,NPR-3
DA4,SER-2
DA4,UNC-8
DA5,CKR-2
DA5,DOP-1
DA5,DOP-3
DA5,NPR-3
DA5,SER-2
DA5,UNC-8
DA6,CKR-2
DA6,DOP-1
DA6,DOP-3
DA6,NPR-3
DA6,SER-2
DA6,UNC-8
DA7,CKR-2
DA7,DOP-1
DA7,DOP-3
DA7,NPR-3
DA7,SER-2
DA7,UNC-8
DA8,CKR-2
DA8,DOP-1
DA8,DOP-3
DA8,NPR-3
DA8,SER-2
DA8,UNC-8
DA9,CKR-2
DA9,DOP-1
DA9,DOP-3
DA9,NPR-3
DA9,SER-2
DA9,UNC-8
DB1,CKR-2
DB1,DOP-1
DB1,DOP-3
DB1,NPR-3
DB2,CKR-2
DB2,DOP-1
DB2,DOP-3
DB2,NPR-3
DB2,PDFR-1
DB3,CKR-2
DB3,DOP-1
DB3,DOP-3
DB3,NPR-3
DB4,CKR-2
DB4,DOP-1
DB4,DOP-3
DB4,NPR-3
DB5,CKR-2
DB5,DOP-1
DB5,DOP-3
DB5,NPR-3
DB6,CKR-2
DB6,DOP-1
DB6,DOP-3
DB6,NPR-3
DB7,CKR-2
DB7,DOP-1
DB7,DOP-3
DB7,NPR-3
DD1,DOP-3
DD1,MOD-1
DD1,NPR-1
DD2,DOP-3
DD2,MOD-1
DD2,NPR-1
DD3,DOP-3
DD3,MOD-1
DD3,NPR-1
DD4,DOP-3
DD4,MOD-1
DD4,NPR-1
DD5,DOP-3
DD5,MOD-1
DD5,NPR-1
DD6,DOP-3
DD6,MOD-1
DD6,NPR-1
DVA,EGL-6
DVA,FRPR-4
DVA,GGR-3
DVA,GLR-4
DVA,GLR-5
DVA,NMR-1
DVA,SER-2
DVA,SER-4
DVA,TRP-4
DVC,GLR-1
DVC,SER-1
DVC,SER-4
DVC,TRP-4
FLPL,DEG-3
FLPL,DEL-1
FLPL,DES-2
FLPL,GLR-4
FLPL,LGC-53
FLPL,MEC-10
FLPL,NPR-2
FLPL,OSM-9
FLPL,PDFR-1
FLPL,UNC-8
FLPR,DEG-3
FLPR,DEL-1
FLPR,DES-2
FLPR,GLR-4
FLPR,LGC-53
FLPR,MEC-10
FLPR,NPR-2
FLPR,OSM-9
FLPR,PDFR-1
FLPR,UNC-8
HSNL,EGL-6
HSNL,GAR-2
HSNL,GGR-2
HSNL,GLR-5
HSNL,LGC-53
HSNL,LGC-55
HSNL,MEC-6
HSNR,EGL-6
HSNR,GAR-2
HSNR,GGR-2
HSNR,GLR-5
HSNR,LGC-53
HSNR,LGC-55
HSNR,MEC-6
I1L,DOP-4
I1L,FRPR-4
I1L,GLR-7
I1L,GLR-8
I1L,PDFR-1
I1R,DOP-4
I1R,FRPR-4
I1R,GLR-7
I1R,GLR-8
I1R,PDFR-1
I2L,DOP-4
I2L,GLR-7
I2L,GLR-8
I2L,NTR-1
I2L,SER-7
I2R,DOP-4
I2R,GLR-7
I2R,GLR-8
I2R,NTR-1
I2R,SER-7
I3,GLR-7
I3,GLR-8
I3,SER-7
I4,SER-7
I6,GLR-7
I6,GLR-8
I6,SER-7
IL1DL,DEG-3
IL1DL,LGC-55
IL1DL,MEC-6
IL1DL,TRPA-1
IL1DR,DEG-3
IL1DR,LGC-55
IL1DR,MEC-6
IL1DR,TRPA-1
IL1L,DEG-3
IL1L,LGC-55
IL1L,MEC-6
IL1L,TRPA-1
IL1R,DEG-3
IL1R,LGC-55
IL1R,MEC-6
IL1R,TRPA-1
IL1VL,DEG-3
IL1VL,LGC-55
IL1VL,MEC-6
IL1VL,TRPA-1
IL1VR,DEG-3
IL1VR,LGC-55
IL1VR,MEC-6
IL1VR,TRPA-1
IL2DL,DES-2
IL2DL,LGC-53
IL2DL,NPR-1
IL2DL,NPR-5
IL2DR,DES-2
IL2DR,LGC-53
IL2DR,NPR-1
IL2DR,NPR-5
IL2L,DES-2
IL2L,LGC-53
IL2L,NPR-1
IL2L,NPR-5
IL2R,DES-2
IL2R,LGC-53
IL2R,NPR-1
IL2R,NPR-5
IL2VL,DES-2
IL2VL,LGC-53
IL2VL,NPR-1
IL2VL,NPR-5
IL2VR,DES-2
IL2VR,LGC-53
IL2VR,NPR-1
IL2VR,NPR-5
LUAL,GLR-5
LUAL,SER-2
LUAR,GLR-5
LUAR,SER-2
M1,AVR-14
M1,GLR-2
M1,SER-4
M2L,SER-7
M2R,SER-7
M3L,GLR-8
M3L,NPR-1
M3L,SER-7
M3R,GLR-8
M3R,NPR-1
M3R,SER-7
M4,GLR-8
M4,SER7b
M4,SER-7
M5,GLR-8
M5,SER-7
MCL,GLR-8
MCL,SER-7
MCL,TYRA-2
MCR,GLR-8
MCR,SER-7
MCR,TYRA-2
NSML,AEX-2
NSML,DOP-3
NSML,GLR-7
NSML,GLR-8
NSML,SER-2
NSML,SER-4
NSML,TYRA-2
NSMR,AEX-2
NSMR,DOP-3
NSMR,GLR-7
NSMR,GLR-8
NSMR,SER-2
NSMR,SER-4
NSMR,TYRA-2
