Source;Target;Weight;Type;PreSynTransmitter;PostSynReceptor
AWCR;AIAL;1;chemical;Glutamate;GLC-3, GLR-2, MGL-1
AWCR;AIAR;8;chemical;Glutamate;GLC-3, GLR-2, MGL-1
AWCR;AIBL;3;chemical;Glutamate;GLR-1, GLR-2, GLR-5, MGL-2
AWCR;AIBR;18;chemical;Glutamate;GLR-1, GLR-2, GLR-5, MGL-2
AWCR;AIYL;12;chemical;Glutamate;GLC-3, MGL-1
AWCR;AIYR;22;chemical;Glutamate;GLC-3, MGL-1
AWCR;RIAL;3;chemical;Glutamate;
AWCR;RIVL;3;chemical;Glutamate;
AFDL;ASEL;1;chemical;Glutamate;MGL-3
AFDL;ASER;1;chemical;Glutamate;MGL-3
AFDL;AWBL;4;chemical;Glutamate;
AFDL;AFDL;1;chemical;Glutamate;
AFDL;AIBL;1;chemical;Glutamate;GLR-1, GLR-2, GLR-5, MGL-2
AFDL;AIYL;25;chemical;Glutamate;GLC-3, MGL-1
AFDR;ASEL;1;chemical;Glutamate;MGL-3
AFDR;ASER;4;chemical;Glutamate;MGL-3
AFDR;AFDL;1;chemical;Glutamate;
AFDR;AIYR;29;chemical;Glutamate;GLC-3, MGL-1
IL1DL;IL2DL;1;chemical;Glutamate;
IL1DL;RMDDR;3;chemical;Glutamate;GLR-1
IL1DL;RMDVL;3;chemical;Glutamate;GLR-1
IL1DL;RMEL;1;chemical;Glutamate;AVR-15, GLR-1
IL1DL;SIBDL;3;chemical;Glutamate;
IL1DR;IL1DR;1;chemical;Glutamate;
IL1DR;IL1R;2;chemical;Glutamate;
IL1DR;IL2DR;5;chemical;Glutamate;
IL1DR;OLLR;1;chemical;Glutamate;
IL1DR;URYDR;2;chemical;Glutamate;
IL1DR;PVR;5;chemical;Glutamate;
IL1DR;RMDDL;11;chemical;Glutamate;GLR-1
IL1DR;RMDVR;32;chemical;Glutamate;GLR-1
IL1L;IL2L;1;chemical;Glutamate;
IL1L;OLLL;1;chemical;Glutamate;
IL1L;RMGL;1;chemical;Glutamate;
IL1L;AVER;5;chemical;Glutamate;GLR-1, GLR-2, GLR-5, NMR-1, NMR-2
IL1L;RMDDL;20;chemical;Glutamate;GLR-1
IL1L;RMDL;3;chemical;Glutamate;GLR-1
IL1L;RMDR;9;chemical;Glutamate;GLR-1
IL1L;RMDVL;22;chemical;Glutamate;GLR-1
IL1L;RMDVR;5;chemical;Glutamate;GLR-1
IL1L;RMER;4;chemical;Glutamate;AVR-15, GLR-1
IL1R;OLLR;1;chemical;Glutamate;
IL1R;URXR;1;chemical;Glutamate;
IL1R;AVEL;2;chemical;Glutamate;GLR-1, GLR-2, GLR-5, NMR-1, NMR-2
IL1R;AVER;5;chemical;Glutamate;GLR-1, GLR-2, GLR-5, NMR-1, NMR-2
IL1R;RMDDL;8;chemical;Glutamate;GLR-1
IL1R;RMDDR;12;chemical;Glutamate;GLR-1
IL1R;RMDL;11;chemical;Glutamate;GLR-1
IL1R;RMDR;4;chemical;Glutamate;GLR-1
IL1R;RMDVL;8;chemical;Glutamate;GLR-1
IL1R;RMDVR;17;chemical;Glutamate;GLR-1
IL1R;RMEL;5;chemical;Glutamate;AVR-15, GLR-1
IL1R;RMHL;3;chemical;Glutamate;
IL1VL;IL1L;3;chemical;Glutamate;
IL1VL;IL1VL;5;chemical;Glutamate;
IL1VL;OLQVL;2;chemical;Glutamate;
IL1VL;URYVL;4;chemical;Glutamate;
IL1VL;AVL;1;chemical;Glutamate;
IL1VL;RMDDL;30;chemical;Glutamate;GLR-1
IL1VL;RMDVR;3;chemical;Glutamate;GLR-1
IL1VL;RMHL;1;chemical;Glutamate;
IL1VR;IL1R;4;chemical;Glutamate;
IL1VR;IL2VR;2;chemical;Glutamate;
IL1VR;OLQVR;5;chemical;Glutamate;
IL1VR;OLLR;1;chemical;Glutamate;
IL1VR;RMDDR;40;chemical;Glutamate;GLR-1
IL1VR;RMDVL;5;chemical;Glutamate;GLR-1
IL2DL;IL1DL;17;chemical;Acetylcholine;
IL2DL;IL2DL;2;chemical;Acetylcholine;
IL2DL;OLQDL;2;chemical;Acetylcholine;
IL2DL;AUAL;2;chemical;Acetylcholine;
IL2DL;RIBL;1;chemical;Acetylcholine;
IL2DL;AVBR;2;chemical;Acetylcholine;
IL2DL;RMED;2;chemical;Acetylcholine;
IL2DL;RMEL;11;chemical;Acetylcholine;
IL2DL;RMER;8;chemical;Acetylcholine;
IL2DL;RMEV;1;chemical;Acetylcholine;
IL2DL;RMHL;1;chemical;Acetylcholine;
IL2DR;IL1DR;28;chemical;Acetylcholine;
IL2DR;OLQDR;2;chemical;Acetylcholine;
IL2DR;CEPDR;2;chemical;Acetylcholine;
IL2DR;RICL;1;chemical;Acetylcholine;
IL2DR;RICR;2;chemical;Acetylcholine;
IL2DR;RMED;3;chemical;Acetylcholine;
IL2DR;RMEL;12;chemical;Acetylcholine;
IL2DR;RMER;11;chemical;Acetylcholine;
IL2DR;RMEV;5;chemical;Acetylcholine;
IL2L;IL1L;6;chemical;Acetylcholine;
IL2L;OLQDL;20;chemical;Acetylcholine;
IL2L;OLQVL;19;chemical;Acetylcholine;
IL2L;URXL;3;chemical;Acetylcholine;
IL2L;ADEL;6;chemical;Acetylcholine;ACR-16
IL2L;RICL;1;chemical;Acetylcholine;
IL2L;AVEL;2;chemical;Acetylcholine;
IL2L;RMDL;5;chemical;Acetylcholine;
IL2L;RMDR;3;chemical;Acetylcholine;
IL2L;RMER;10;chemical;Acetylcholine;
