5.900000e-04	1.435495e-12	1.435495e-12	
6.000000e-04	1.458165e-12	1.458165e-12	
6.100000e-04	1.480765e-12	1.480765e-12	
6.200000e-04	1.503296e-12	1.503296e-12	
6.300000e-04	1.525757e-12	1.525757e-12	
6.400000e-04	1.548148e-12	1.548148e-12	
6.500000e-04	1.570471e-12	1.570471e-12	
6.600000e-04	1.592725e-12	1.592725e-12	
6.700000e-04	1.614910e-12	1.614910e-12	
6.800000e-04	1.637026e-12	1.637026e-12	
6.900000e-04	1.659074e-12	1.659074e-12	
7.000000e-04	1.681054e-12	1.681054e-12	
7.100000e-04	1.702965e-12	1.702965e-12	
7.200000e-04	1.724809e-12	1.724809e-12	
7.300000e-04	1.746586e-12	1.746586e-12	
7.400000e-04	1.768295e-12	1.768295e-12	
7.500000e-04	1.789936e-12	1.789936e-12	
7.600000e-04	1.811511e-12	1.811511e-12	
7.700000e-04	1.833018e-12	1.833018e-12	
7.800000e-04	1.854459e-12	1.854459e-12	
7.900000e-04	1.875834e-12	1.875834e-12	
8.000000e-04	1.897142e-12	1.897142e-12	
8.100000e-04	1.918383e-12	1.918383e-12	
8.200000e-04	1.939559e-12	1.939559e-12	
8.300000e-04	1.960669e-12	1.960669e-12	
8.400000e-04	1.981714e-12	1.981714e-12	
8.500000e-04	2.002693e-12	2.002693e-12	
8.600000e-04	2.023606e-12	2.023606e-12	
8.700000e-04	2.044455e-12	2.044455e-12	
8.800000e-04	2.065238e-12	2.065238e-12	
8.900000e-04	2.085957e-12	2.085957e-12	
9.000000e-04	2.106612e-12	2.106612e-12	
9.100000e-04	2.127202e-12	2.127202e-12	
9.200000e-04	2.147727e-12	2.147727e-12	
9.300000e-04	2.168189e-12	2.168189e-12	
9.400000e-04	2.188587e-12	2.188587e-12	
9.500000e-04	2.208921e-12	2.208921e-12	
9.600000e-04	2.229192e-12	2.229192e-12	
9.700000e-04	2.249399e-12	2.249399e-12	
9.800000e-04	2.269544e-12	2.269544e-12	
9.900000e-04	2.289625e-12	2.289625e-12	
1.000000e-03	2.309643e-12	2.309643e-12	
1.010000e-03	2.329599e-12	2.329599e-12	
1.020000e-03	2.349492e-12	2.349492e-12	
1.030000e-03	2.369323e-12	2.369323e-12	
1.040000e-03	2.389092e-12	2.389092e-12	
1.050000e-03	2.408799e-12	2.408799e-12	
1.060000e-03	2.428445e-12	2.428445e-12	
1.070000e-03	2.448028e-12	2.448028e-12	
1.080000e-03	2.467550e-12	2.467550e-12	
1.090000e-03	2.487011e-12	2.487011e-12	
1.100000e-03	2.506411e-12	2.506411e-12	
1.110000e-03	2.525750e-12	2.525750e-12	
